"title","attribution","roomTitle","url.art","imagepath","Status","month","year","monthyear","datechange"
"Ours To Hold And Caress And Cherish","Mwangi Hutter","East Building, Mezzanine - Terrace","/content/ngaweb/collection/art-object-page.222848.html","https://media.nga.gov/iiif/5f4481e5-18b8-4811-8c22-17af39b22fe4/full/!384,384/0/default.jpg","Added","September","2023","September 2023","September 12"
"A Little Boy","Desiderio da Settignano","West Building, Ground Floor - Gallery 15","/content/ngaweb/collection/art-object-page.120.html","https://media.nga.gov/iiif/f14de208-790d-462c-893a-18ecf170b68b/full/!384,384/0/default.jpg","Added","September","2023","September 2023","September 12"
"Head of a Boy","Richmond Barthé","West Building, Ground Floor - Gallery 15","/content/ngaweb/collection/art-object-page.178265.html","https://media.nga.gov/iiif/a0c34aa8-e143-40ad-bf1b-cb72efb6e3ca/full/!384,384/0/default.jpg","Added","September","2023","September 2023","September 12"
"Night","Kiki Kogelnik","East Building, Mezzanine - Gallery 214A","/content/ngaweb/collection/art-object-page.225164.html","https://media.nga.gov/iiif/22737096-18f0-40b3-bd0d-798212f67f0f/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"Ours To Hold And Caress And Cherish","Mwangi Hutter","East Building, Mezzanine - Gallery 214B","/content/ngaweb/collection/art-object-page.222848.html","https://media.nga.gov/iiif/5f4481e5-18b8-4811-8c22-17af39b22fe4/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"Untitled [B84-038]","Hannelore Baron","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.221171.html",NA,"Removed","September","2023","September 2023","September 12"
"Blue","Liza Lou","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.222889.html","https://media.nga.gov/iiif/9ce94d7c-893f-4102-b2d5-811d444aab1e/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"All Most","Melvin Edwards","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.223888.html","https://media.nga.gov/iiif/2830c664-38d0-4409-a2b0-a582e48244c5/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"For Emilio Cruz","Melvin Edwards","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.223889.html","https://media.nga.gov/iiif/0be2747c-a845-4870-aaee-170f9eae5780/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"Siempre Gilberto de la Nuez","Melvin Edwards","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.223887.html","https://media.nga.gov/iiif/184c3f67-fc3b-4211-9515-3a2f9a79c41f/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"Tayali Ever Ready (Homage to Henry Tayali)","Melvin Edwards","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.223890.html","https://media.nga.gov/iiif/f49b0fe4-4d4d-418f-8c37-73d8b0971ddb/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"Aftermath","Anne Neely","East Building, Mezzanine - Gallery 214Z","/content/ngaweb/collection/art-object-page.226179.html","https://media.nga.gov/iiif/24ed3e5d-18ae-4ab7-835d-c8a8ccd55682/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
"Pietro Talani","Attributed to Gregorio di Lorenzo (Master of the Marble Madonnas)","West Building, Ground Floor - Gallery 15","/content/ngaweb/collection/art-object-page.1244.html","https://media.nga.gov/iiif/6e5b263c-da77-4442-8879-73f6905f4dde/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 12"
